id,type,master_id,prompt_tokens,completion_tokens,total_tokens,start_time,end_time,time_taken_in_seconds
1,rephrase_question,1,0,0,0,1755973990.761685,1755973990.7633283,0.0016434192657470703
2,intent_identification,1,1601,210,1811,1755973990.7648578,1755973994.6768248,3.9119670391082764
3,map_indices_to_names,1,0,0,0,1755973994.6771686,1755973994.695423,0.01825428009033203
4,sql_generation,1,639,84,723,1755973994.6976326,1755973995.95327,1.2556374073028564
5,sql_execution,1,0,0,0,1755973995.9546878,1755973997.1207669,1.166079044342041
6,rephrase_question,2,0,0,0,1755974496.78533,1755974496.7870197,0.0016896724700927734
7,intent_identification,2,1601,235,1836,1755974496.7874389,1755974500.5578635,3.7704246044158936
8,map_indices_to_names,2,0,0,0,1755974500.5584683,1755974500.5699134,0.011445045471191406
9,sql_generation,2,639,84,723,1755974500.5730724,1755974501.7271776,1.1541051864624023
10,sql_execution,2,0,0,0,1755974501.7281373,1755974502.9297845,1.2016472816467285
11,rephrase_question,3,0,0,0,1755974611.9339914,1755974611.9350185,0.0010271072387695312
12,intent_identification,3,1601,192,1793,1755974611.9353895,1755974615.191687,3.2562975883483887
13,map_indices_to_names,3,0,0,0,1755974615.1919048,1755974615.195032,0.0031270980834960938
14,sql_generation,3,639,84,723,1755974615.195728,1755974616.3978794,1.2021512985229492
15,sql_execution,3,0,0,0,1755974616.3986669,1755974617.5282469,1.129580020904541
16,rephrase_question,4,0,0,0,1756101929.366937,1756101929.3697228,0.002785921096801758
17,intent_identification,4,1601,184,1785,1756101929.370265,1756101933.1321373,3.7618722915649414
18,map_indices_to_names,4,0,0,0,1756101933.1327596,1756101933.145731,0.01297140121459961
19,sql_generation,4,639,84,723,1756101933.1462567,1756101934.306306,1.1600492000579834
20,sql_execution,4,0,0,0,1756101934.3068204,1756101935.4198248,1.113004446029663
21,rephrase_question,5,0,0,0,1756107233.294306,1756107233.296712,0.002405881881713867
22,intent_identification,5,1266,200,1466,1756107233.2968976,1756107237.0808892,3.783991575241089
23,map_indices_to_names,5,0,0,0,1756107237.0819783,1756107237.0902674,0.008289098739624023
24,sql_generation,5,909,83,992,1756107237.0909274,1756107238.5110087,1.420081377029419
25,sql_execution,5,0,0,0,1756107238.511662,1756107239.8453796,1.3337175846099854
26,rephrase_question,6,0,0,0,1756192674.7712858,1756192674.7751565,0.003870725631713867
27,intent_identification,6,1490,215,1705,1756192674.7756007,1756192677.7578464,2.982245683670044
28,map_indices_to_names,6,0,0,0,1756192677.758416,1756192677.7732382,0.014822244644165039
29,sql_generation,6,909,90,999,1756192677.773668,1756192679.575361,1.8016929626464844
30,sql_execution,6,0,0,0,1756192679.575915,1756192681.2605567,1.6846415996551514
31,rephrase_question,1,0,0,0,1756288632.8985395,1756288632.9007416,0.0022020339965820312
32,intent_identification,1,2859,304,3163,1756288632.9011261,1756288637.8141918,4.913065671920776
33,map_indices_to_names,1,0,0,0,1756288637.8148882,1756288637.8251529,0.01026463508605957
34,sql_generation,1,914,78,992,1756288637.8261197,1756288639.3576267,1.5315070152282715
35,sql_execution,1,0,0,0,1756288639.3582063,1756288639.9357214,0.5775151252746582
36,rephrase_question,1,0,0,0,1756289393.8728342,1756289393.8739367,0.001102447509765625
37,intent_identification,1,2859,299,3158,1756289393.874264,1756289397.813397,3.9391329288482666
38,map_indices_to_names,1,0,0,0,1756289397.8143072,1756289397.8198788,0.005571603775024414
39,sql_generation,1,912,88,1000,1756289397.8207135,1756289399.126039,1.3053255081176758
40,sql_execution,1,0,0,0,1756289399.1275275,1756289399.6385517,0.5110242366790771
41,rephrase_question,1,0,0,0,1756367530.7642293,1756367530.7661512,0.0019218921661376953
42,intent_identification,1,2218,247,2465,1756367530.7667003,1756367535.036348,4.269647836685181
43,map_indices_to_names,1,0,0,0,1756367535.0369658,1756367535.0488367,0.011870861053466797
44,sql_generation,1,811,132,943,1756367535.0498574,1756367536.784605,1.7347476482391357
45,sql_execution,1,0,0,0,1756367536.785501,1756367537.333842,0.5483410358428955
46,rephrase_question,1,0,0,0,1756367567.2057116,1756367567.2060747,0.0003631114959716797
47,intent_identification,1,2218,253,2471,1756367567.2063906,1756367570.274475,3.068084478378296
48,map_indices_to_names,1,0,0,0,1756367570.2751708,1756367570.2847128,0.009541988372802734
49,sql_generation,1,811,129,940,1756367570.2866163,1756367572.0116334,1.7250170707702637
50,sql_execution,1,0,0,0,1756367572.0130422,1756367572.1013012,0.08825898170471191
51,rephrase_question,1,0,0,0,1756367856.8708508,1756367856.8709695,0.00011873245239257812
52,intent_identification,1,2204,191,2395,1756367856.8710992,1756367860.4723883,3.6012890338897705
53,map_indices_to_names,1,0,0,0,1756367860.4730587,1756367860.481796,0.008737325668334961
54,sql_generation,1,786,48,834,1756367860.4827154,1756367861.8011026,1.3183872699737549
55,sql_execution,1,0,0,0,1756367861.8016727,1756367862.1982307,0.3965580463409424
56,rephrase_question,1,0,0,0,1756367949.471796,1756367949.4721086,0.00031256675720214844
57,intent_identification,1,2214,202,2416,1756367949.4725924,1756367952.113125,2.6405327320098877
58,map_indices_to_names,1,0,0,0,1756367952.1138108,1756367952.1249032,0.011092424392700195
59,sql_generation,1,807,137,944,1756367952.1262124,1756367953.8551173,1.7289049625396729
60,sql_execution,1,0,0,0,1756367953.8564982,1756367953.9393327,0.08283448219299316
61,rephrase_question,1,0,0,0,1756372038.6434453,1756372038.6437569,0.0003116130828857422
62,intent_identification,1,2214,188,2402,1756372038.6442616,1756372042.0219946,3.377732992172241
63,map_indices_to_names,1,0,0,0,1756372042.022363,1756372042.0283587,0.005995750427246094
64,sql_generation,1,807,115,922,1756372042.0291712,1756372043.5599616,1.5307903289794922
65,sql_execution,1,0,0,0,1756372043.5610583,1756372043.7053647,0.14430642127990723
66,rephrase_question,1,0,0,0,1756377969.30275,1756377969.3034446,0.0006945133209228516
