question,query
What is the outstanding portfolio for branch IN0010097?,"SELECT a.branch_id, SUM(principal_outstanding) AS portfolio, b.zone_name, b.area_name
        FROM accessdetails.__genai_portfolio_outstanding_1756049975215338_1756052875 a
        LEFT JOIN accessdetails.__genai_branch_master_1756049768773113_1756052942850 b 
          ON a.branch_id = b.branch_id
        WHERE a.branch_id = 'IN0010097'
        GROUP BY a.branch_id, b.zone_name, b.area_name"
How much was disbursed at branch IN0010002 by product and date?,"SELECT a.*, b.*
        FROM (
          SELECT branch_id, product, ln_value_date AS disbursement_date,
                 SUM(amount) AS disbursed_amount,
                 COUNT(DISTINCT loan_id) AS number_of_loans_disbursed
          FROM accessdetails.__genai_loans_disbursement_1756049896399611_1756121654
          WHERE branch_id = 'IN0010002' 
            AND ln_value_date IS NOT NULL 
            AND ln_value_date <> ''
          GROUP BY branch_id, product, ln_value_date
        ) a
        LEFT JOIN accessdetails.__genai_branch_master_1756049768773113_1756052942850 b 
          ON a.branch_id = b.branch_id"
How many loans were disbursed at branch IN0010002 by product and date?,"SELECT a.*, b.*
        FROM (
          SELECT branch_id, product, ln_value_date AS disbursement_date,
                 COUNT(DISTINCT loan_id) AS number_of_loans_disbursed
          FROM accessdetails.__genai_loans_disbursement_1756049896399611_1756121654
          WHERE branch_id = 'IN0010002' 
            AND ln_value_date IS NOT NULL 
            AND ln_value_date <> ''
          GROUP BY branch_id, product, ln_value_date
        ) a
        LEFT JOIN accessdetails.__genai_branch_master_1756049768773113_1756052942850 b 
          ON a.branch_id = b.branch_id"
How many loans were closed at branch IN0010002 by product and date?,"SELECT a.*, b.*
        FROM (
          SELECT branch_id, product, loan_closed_date,
                 COUNT(DISTINCT loan_id) AS number_of_closed_loans
          FROM accessdetails.__genai_loans_disbursement_1756049896399611_1756121654
          WHERE branch_id = 'IN0010002' 
            AND loan_closed_date IS NOT NULL 
            AND loan_closed_date <> ''
          GROUP BY branch_id, product, loan_closed_date
        ) a
        LEFT JOIN accessdetails.__genai_branch_master_1756049768773113_1756052942850 b 
          ON a.branch_id = b.branch_id"
What is the total loan collection per branch?,"SELECT a.*, b.*
        FROM (
          SELECT branch_id, SUM(tot_principal_coll + tot_interest_coll) AS collection
          FROM accessdetails.__genai_recovery_details_1756049922474528_1756052912237
          GROUP BY branch_id
        ) a
        LEFT JOIN accessdetails.__genai_branch_master_1756049768773113_1756052942850 b 
          ON a.branch_id = b.branch_id"
What is the overdue amount per branch?,"SELECT a.*, b.*
        FROM (
          SELECT branch_id, SUM(overdue_principal + overdue_interest) AS overdue_amount
          FROM accessdetails.__genai_arrear_details_1756049949594103_1756052901040
          GROUP BY branch_id
        ) a
        LEFT JOIN accessdetails.__genai_branch_master_1756049768773113_1756052942850 b 
          ON a.branch_id = b.branch_id"
What is the overdue interest per branch?,"SELECT a.*, b.*
        FROM (
          SELECT branch_id, SUM(overdue_interest) AS overdue_interest
          FROM accessdetails.__genai_arrear_details_1756049949594103_1756052901040
          GROUP BY branch_id
        ) a
        LEFT JOIN accessdetails.__genai_branch_master_1756049768773113_1756052942850 b 
          ON a.branch_id = b.branch_id"
What are the min and max days in arrears per branch?,"SELECT a.*, b.*
        FROM (
          SELECT branch_id, MIN(days_in_arrear) AS min_dpd, MAX(days_in_arrear) AS max_dpd
          FROM accessdetails.__genai_arrear_details_1756049949594103_1756052901040
          GROUP BY branch_id
        ) a
        LEFT JOIN accessdetails.__genai_branch_master_1756049768773113_1756052942850 b 
          ON a.branch_id = b.branch_id"
What is the total PAR amount per branch?,"SELECT a.*, b.*
        FROM (
          SELECT branch_id, SUM(par_amount) AS total_par_amount
          FROM accessdetails.__genai_arrear_details_1756049949594103_1756052901040
          GROUP BY branch_id
        ) a
        LEFT JOIN accessdetails.__genai_branch_master_1756049768773113_1756052942850 b 
          ON a.branch_id = b.branch_id"
How many customers joined branch IN0010002 by activation date?,"SELECT branch_id, customer_activation_date,
               COUNT(DISTINCT member_id) AS joined_member_count
        FROM accessdetails.__genai_customer_details_1756049993575638_1756052886934
        WHERE branch_id = 'IN0010002'
          AND customer_activation_date IS NOT NULL
          AND customer_activation_date <> ''
        GROUP BY branch_id, customer_activation_date
        ORDER BY customer_activation_date DESC"
