question,query,.
What is the outstanding portfolio for branch IN0010097?,"select a.branch_id,sum(principal_outstanding) as ""portfolio"",b.zone_name,b.area_name from accessdetails.__genai_portfolio_outstanding_1756049975215338_1756052875 a 
left join accessdetails.__genai_branch_master_1756049768773113_1756052942850 b on a.branch_id=b.branch_id 
where a.branch_id = 'IN0010097' group by 1,3,4",.
How much was disbursed at branch IN0010002 by product and date?,"select a.*,b.* from(select branch_id,product,ln_value_date as disbursement_date,sum(amount) as disbursed_amount,count(distinct loan_id) as number_of_loans_disbursed
from accessdetails.__genai_loans_disbursement_1756049896399611_1756121654
where branch_id ='IN0010002' and  ln_value_date is not null or ln_value_date <>''  and  group by 1,2,3) a left join accessdetails.__genai_branch_master_1756049768773113_1756052942850 b on a.branch_id=b.branch_id",.
How many loans were disbursed at branch IN0010002 by product and date?,"select a.*,b.* from(select branch_id,product,ln_value_date as disbursement_date,count(distinct loan_id) as number_of_loans_disbursed
from accessdetails.__genai_loans_disbursement_1756049896399611_1756121654
where branch_id ='IN0010002' and ln_value_date is not null or ln_value_date <>'' group by 1,2,3) a left join accessdetails.__genai_branch_master_1756049768773113_1756052942850 b on a.branch_id=b.branch_id",.
How many loans were closed at branch IN0010002 by product and date?,"select a.*,b.* from(select branch_id,product, loan_closed_date,count(distinct loan_id) as number_of_closed_loans
from accessdetails.__genai_loans_disbursement_1756049896399611_1756121654
where branch_id ='IN0010002' and loan_closed_date is not null or loan_closed_date <> '' group by 1,2,3) a left join accessdetails.__genai_branch_master_1756049768773113_1756052942850 b on a.branch_id=b.branch_id",.
What is the total loan collection per branch?,"select a.*,b.* from(select branch_id,sum(tot_principal_coll+tot_interest_coll) as collection 
from accessdetails.__genai_recovery_details_1756049922474528_1756052912237 group by 1) a left join accessdetails.__genai_branch_master_1756049768773113_1756052942850 b on a.branch_id=b.branch_id",.
What is the overdue amount per branch?,"select a.*,b.* from(select branch_id,sum(overdue_principal+overdue_interest) as overdue_amount from accessdetails.__genai_arrear_details_1756049949594103_1756052901040 group by 1)a
left join accessdetails.__genai_branch_master_1756049768773113_1756052942850 b on a.branch_id=b.branch_id",.
What is the overdue interest per branch?,"select a.*,b.* from(select branch_id,sum(overdue_interest) as overdue_interest
from accessdetails.__genai_arrear_details_1756049949594103_1756052901040 group by 1) a left join accessdetails.__genai_branch_master_1756049768773113_1756052942850 b on a.branch_id=b.branch_id",.
What are the min and max days in arrears per branch?,"select a.*,b.* from(select branch_id,min(days_in_arrear)min_dpd,max(days_in_arrear) as max_dpd
from accessdetails.__genai_arrear_details_1756049949594103_1756052901040 group by 1) a left join accessdetails.__genai_branch_master_1756049768773113_1756052942850 b on a.branch_id=b.branch_id",.
What is the total PAR amount per branch?,"select a.*,b.* from(select branch_id,sum(par_amount) as total_par_amount
from accessdetails.__genai_arrear_details_1756049949594103_1756052901040 group by 1) a left join accessdetails.__genai_branch_master_1756049768773113_1756052942850 b on a.branch_id=b.branch_id",.
How many customers joined branch IN0010002 by activation date?,"select branch_id,customer_activation_date,count(distinct member_id) as joined_member_count from accessdetails.__genai_customer_details_1756049993575638_1756052886934
where branch_id='IN0010002' and customer_activation_date is not null or customer_activation_date <>'' group by 1,2 order by 2 desc",.
